C3,COMMAND AND.C2,COMMAND AND.C1,COMMAND AND.C0,COMMAND AND.A3,COMMAND AND.A2,COMMAND AND.A1,COMMAND AND.A0,MOST SIGNIFICANT DATA BYTE.,MOST SIGNIFICANT DATA BYTE.,MOST SIGNIFICANT DATA BYTE.DATA[7:0],MOST SIGNIFICANT DATA BYTE.,MOST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.X,LEAST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE.X X,LEAST SIGNIFICANT DATA BYTE.,LEAST SIGNIFICANT DATA BYTE.X X,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578,DESCRIPTION.General data format for 8-bit DAC5578
0,0,0,0 0,1 1,1,1,1,,,Data[11:4],,,,,Data[3:0],,,X X,X,,"X Broadcast mode, write to all DAC channels","X Broadcast mode, write to all DAC channels","X Broadcast mode, write to all DAC channels","X Broadcast mode, write to all DAC channels","X Broadcast mode, write to all DAC channels","X Broadcast mode, write to all DAC channels","X Broadcast mode, write to all DAC channels"
Select 0,0 DAC 0,0 Register 0,to 1,Update 0,0,0,0,X A to be updated,X X,X X,X,X,X X,X,,X,X,X,X,,X X Selects DAC channel,X X Selects DAC channel,X X Selects DAC channel,X X Selects DAC channel,X X Selects DAC channel,X X Selects DAC channel,X X Selects DAC channel
0 0,0,0,1,0,0,0,1 X,X Selects DAC channel B to be updated,X,X X,X,X,X X,,X,X,X,,X,X,X X,X X,X X,X X,X X,X X,X X
,0,0,1,0,0,,,X,X,X X,X,,X,X,X,X,,X,X,,X Selects DAC channel C to be updated,X Selects DAC channel C to be updated,X Selects DAC channel C to be updated,X Selects DAC channel C to be updated,X Selects DAC channel C to be updated,X Selects DAC channel C to be updated,X Selects DAC channel C to be updated
0,,0,0,,,1,0,X X,X,,,X,,,X,,,X X X,,,,,,,,,
,,,1,0 0,0 1,1,1,X,X,X,X X X,X,X,,X X,X,,X,,,X X,Selects DAC channel D to be updated,Selects DAC channel D to be updated,Selects DAC channel D to be updated,Selects DAC channel D to be updated,Selects DAC channel D to be updated,Selects DAC channel D to be updated
0,0,0 0,1 1,0,,0,0 X,X X Selects DAC channel E to be updated,X,X X X,X,X,X,,,,X,X X X X,X,X,X X,,,,,,
0,0,,,,1,0,1 X,X,X,X,X,X,X,X,X,X,,X,,,Selects DAC channel F to be updated,Selects DAC channel F to be updated,Selects DAC channel F to be updated,Selects DAC channel F to be updated,Selects DAC channel F to be updated,Selects DAC channel F to be updated,Selects DAC channel F to be updated
0,0,0,1,0,1 1,,0,X,X X,X X,X X,X,X,X,,X,X,X X,X,,X Selects DAC channel G to be updated,X Selects DAC channel G to be updated,X Selects DAC channel G to be updated,X Selects DAC channel G to be updated,X Selects DAC channel G to be updated,X Selects DAC channel G to be updated,X Selects DAC channel G to be updated
0,0,,0 1,0,1,1,1,X,X X,X X,X X,X,,X,X,X,,X X,X,X,X Selects DAC channel H to be updated,X Selects DAC channel H to be updated,X Selects DAC channel H to be updated,X Selects DAC channel H to be updated,X Selects DAC channel H to be updated,X Selects DAC channel H to be updated,X Selects DAC channel H to be updated
0,,0,0 1,1,X,X,X,X,X X,X X,X,X,X,X,X,X,X,X X,X,,"X Invalid code, no action performed","X Invalid code, no action performed","X Invalid code, no action performed","X Invalid code, no action performed","X Invalid code, no action performed","X Invalid code, no action performed","X Invalid code, no action performed"
0,0,0,1,1,1 1,1,X,to be,X X,X X,X X,X,X,X,,X,X,X,X,X,X,"Broadcast mode, selects all DAC channels updated","Broadcast mode, selects all DAC channels updated","Broadcast mode, selects all DAC channels updated","Broadcast mode, selects all DAC channels updated","Broadcast mode, selects all DAC channels updated","Broadcast mode, selects all DAC channels updated"
Write 0,to 0,Selected,DAC,Input Register,and,Update,1,channel A DAC register,Corresponding DAC Register,(Individual Software,LDAC),,,,,,,,,,,,,,,,
0,0,1,1,0,0,0,0 Data[3:0],Write to DAC input register for channel A and update,,Data[11:4],,,,,,,,X,,X,X X,,,,,,
,,,1,0,0,,,Write to DAC input register for channel B and update Data[11:4] Data[3:0] X X X X channel B DAC register,,,,,,,,,,,,,,,,,,,
,,,,1,,0,,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,Write to DAC input register for Data[11:4] Data[3:0] X X X X,channel C and channel C DAC register,channel C and channel C DAC register,channel C and channel C DAC register,channel C and channel C DAC register,channel C and channel C DAC register,channel C and channel C DAC register
0,,0,1,1 0,0,1,0,update,,,,,,,,,,,,,,,,,,,
0,,0,1,1 0,0,1,1,Write to DAC input register for channel D and update Data[11:4] Data[3:0] X X X X channel D DAC register,,,,,,,,,,,,,,,,,,,
0,0,,1,1 0,1,0,0,Write to DAC input register for channel E and update Data[11:4] Data[3:0] X X X X channel E DAC register Write to DAC input register for channel F and update,,,,,,,,,,,,,,,,,,,
0,0,1 0,1,1 0,1,0,1,Data[11:4] Data[3:0] X X X X channel F DAC register,,,,,,,,,,,,,,,,,,,
,,,,1,1,1,0,Write to DAC input register for channel G and update Data[11:4] Data[3:0] X X X X channel G DAC register,,,,,,,,,,,,,,,,,,,
0,,,,0,,,Write to DAC input register for channel H and update 1 Data[11:4] Data[3:0] X X X X,,,,,,,,,,,,,,,,,,,,
0,0,,1,1 0,1 1,,,channel H DAC register,,,,,,,,,,,,,,,,,,,
